Symbol,Industry,Sector,Open,High,Low,Last,Change,% Change,Bid,Offer,Volume (Shares),Value ('000 Baht),totalEquity,financingCashFlow,roe,market
ONEE,SERVICE - Services,MEDIA - Media & Publishing,3.78,3.82,3.7,3.78,0.02,0.53,3.76,3.78,6044022,22767.87,,,,SET-Thailand
PLANB,SERVICE - Services,MEDIA - Media & Publishing,8.55,8.55,8.25,8.55,-0.05,-0.58,8.55,8.6,14223005,119199.77,5962567.0,-502586.0,11.284619978585429,SET-Thailand
PRAKIT,SERVICE - Services,MEDIA - Media & Publishing,10.9,11.1,10.8,11.1,0.2,1.83,11,11.1,66160,720.2,875253.38,0.0,4.472708253413782,SET-Thailand
PTECH,SERVICE - Services,MEDIA - Media & Publishing,3.84,3.84,3.84,3.84,-0.24,-5.88,3.84,4.04,3000,11.52,634000.0,-24688.0,18.213718644459902,SET-Thailand
SE-ED,SERVICE - Services,MEDIA - Media & Publishing,2.26,2.26,2.1,2.2,-0.04,-1.79,2.1,2.22,9015,20.01,1222813.77,65573.92,0.3441398705173748,SET-Thailand
TKS,SERVICE - Services,MEDIA - Media & Publishing,8,8,7.65,7.75,-0.2,-2.52,7.75,7.8,768979,5983.29,2526255.0,-67987.0,11.798722461881065,SET-Thailand
VGI,SERVICE - Services,MEDIA - Media & Publishing,2.86,3.1,2.8,2.98,0.14,4.93,2.98,3,309178242,914318.84,17593367.41,35846.82,8.59073556208224,SET-Thailand
WORK,SERVICE - Services,MEDIA - Media & Publishing,10,10,9.4,9.55,-0.4,-4.02,9.5,9.55,1965905,18813.17,4400035.0,-4002.0,2.917484115405809,SET-Thailand
ZAA,SERVICE - Services,MEDIA - Media & Publishing,0.92,0.96,0.91,0.93,0.01,1.09,0.92,0.93,243709,225.6,482892.0,20000.0,-3.8598796828889097,SET-Thailand
BWG,SERVICE - Services,PROF - Professional Services,0.5,0.51,0.49,0.5,0,0,0.49,0.5,23915907,11959.14,3604560.0,-56952.0,-1.0502522371582632,SET-Thailand
GENCO,SERVICE - Services,PROF - Professional Services,0.52,0.52,0.5,0.51,0,0,0.51,0.52,1854700,954.9,1365838.0,-8565.0,-2.660986928235069,SET-Thailand
PRO,SERVICE - Services,PROF - Professional Services,-,-,-,-,-,-,-,-,-,-,450861.0,33.0,24.96651122303053,SET-Thailand
PRTR,SERVICE - Services,PROF - Professional Services,4.82,5.05,4.8,4.98,0.18,3.75,4.98,5,1646150,8126.29,,,,SET-Thailand
SISB,SERVICE - Services,PROF - Professional Services,33.25,34.75,33.25,34.5,1.5,4.55,34.5,34.75,4999081,171424.41,1876235.0,-10348.0,13.493915195192326,SET-Thailand
SO,SERVICE - Services,PROF - Professional Services,6.25,6.35,6.25,6.25,-0.05,-0.79,6.25,6.3,121640,763.32,,,,SET-Thailand
WAVE,SERVICE - Services,PROF - Professional Services,0.15,0.15,0.14,0.14,-0.01,-6.67,0.14,0.15,7868502,1128.95,1456682.53,-73902.24,-11.25819607364994,SET-Thailand
ASIA,SERVICE - Services,TOURISM - Tourism & Leisure,6.9,6.9,6.75,6.75,0,0,6.75,6.8,1201,8.26,5488227.0,-52914.0,-1.8626912813840761,SET-Thailand
BEYOND,SERVICE - Services,TOURISM - Tourism & Leisure,9.95,10,9.75,9.85,-0.1,-1.01,9.8,9.85,98106,965.69,4693709.3,-37252.48,0.9825092317200252,SET-Thailand
CENTEL,SERVICE - Services,TOURISM - Tourism & Leisure,40,40,39,39.25,-0.75,-1.88,39.25,39.5,3598297,141574.43,13313480.0,1358606.0,6.579408421949184,SET-Thailand
CSR,SERVICE - Services,TOURISM - Tourism & Leisure,-,-,-,-,-,-,76.5,79,-,-,1312120.0,-608.0,3.0800805365547954,SET-Thailand
DUSIT,SERVICE - Services,TOURISM - Tourism & Leisure,12.2,12.3,11.9,12.1,0,0,12,12.1,935402,11366.75,5174979.0,190174.0,5.049808453583957,SET-Thailand
ERW,SERVICE - Services,TOURISM - Tourism & Leisure,4.34,4.38,4.3,4.32,-0.04,-0.92,4.32,4.34,14458687,62724.08,5719924.0,764415.0,1.9160174021210181,SET-Thailand
GRAND,SERVICE - Services,TOURISM - Tourism & Leisure,0.14,0.14,0.12,0.12,-0.02,-14.29,0.12,0.13,13707372,1759.87,3971881.0,-155276.0,-10.025179498665308,SET-Thailand
LRH,SERVICE - Services,TOURISM - Tourism & Leisure,37.5,37.75,37.25,37.75,0.25,0.67,37.25,37.75,926,34.59,12490299.0,-94350.0,2.2629797790446626,SET-Thailand
MANRIN,SERVICE - Services,TOURISM - Tourism & Leisure,-,-,-,-,-,-,31.5,33,-,-,516161.62,-964.73,0.18531786382190335,SET-Thailand
MINT,SERVICE - Services,TOURISM - Tourism & Leisure,29,29.5,28.5,28.75,-0.25,-0.86,28.5,28.75,19031823,549483.95,80234638.0,9776440.0,11.826886451821487,SET-Thailand
OHTL,SERVICE - Services,TOURISM - Tourism & Leisure,380,387,371,383,-5,-1.29,375,384,3969,1497.55,129906.86,-82881.45,-92.95301237357953,SET-Thailand
ROH,SERVICE - Services,TOURISM - Tourism & Leisure,2.34,2.4,2.32,2.32,-0.06,-2.52,2.32,2.36,22707,53.19,961500.0,-79.0,10.54596293673507,SET-Thailand
SHANG,SERVICE - Services,TOURISM - Tourism & Leisure,48.5,48.75,48,48.25,-0.25,-0.52,48.25,49.25,8600,415.88,8825894.0,-1760.0,6.139497528818569,SET-Thailand
SHR,SERVICE - Services,TOURISM - Tourism & Leisure,2.4,2.4,2.3,2.32,-0.04,-1.69,2.32,2.34,9662847,22572.38,19113839.0,-66934.0,-0.610367231826113,SET-Thailand
SPA,SERVICE - Services,TOURISM - Tourism & Leisure,7.4,7.45,7.2,7.25,-0.1,-1.36,7.25,7.3,5519880,40158.12,1135748.0,64707.0,18.404943913244637,SET-Thailand
VRANDA,SERVICE - Services,TOURISM - Tourism & Leisure,5.65,5.7,5.65,5.7,0.05,0.88,5.7,5.75,66600,377.72,2099661.0,124448.0,2.5302707541327623,SET-Thailand
AAV,SERVICE - Services,TRANS - Transportation & Logistics,2.7,2.72,2.64,2.64,-0.04,-1.49,2.64,2.66,47164511,125706.89,22583819.82,-11756059.6,-8.642065097168937,SET-Thailand
ANI,SERVICE - Services,TRANS - Transportation & Logistics,3.94,3.98,3.88,3.92,-0.02,-0.51,3.88,3.92,100517,394.87,,,,SET-Thailand
AOT,SERVICE - Services,TRANS - Transportation & Logistics,64,64.5,63.75,63.75,-0.25,-0.39,63.5,63.75,19661667,1257461.26,161856334.71,-797348.35,16.689170510228735,SET-Thailand
ASIMAR,SERVICE - Services,TRANS - Transportation & Logistics,1.64,1.72,1.64,1.66,0.04,2.47,1.65,1.66,2631441,4427.49,436868.0,-34305.0,2.4346860630382077,SET-Thailand
B,SERVICE - Services,TRANS - Transportation & Logistics,0.1,0.1,0.09,0.09,-0.01,-10,0.09,0.1,6064849,590.31,675534.0,-15838.0,-5.604938211654523,SET-Thailand
BA,SERVICE - Services,TRANS - Transportation & Logistics,23.4,23.9,23.4,23.9,0.5,2.14,23.8,23.9,6919463,164021.31,22342430.0,-1044519.0,-1.8368890965593345,SET-Thailand
BEM,SERVICE - Services,TRANS - Transportation & Logistics,8.05,8.1,8,8,-0.1,-1.23,7.95,8,61557708,494029.05,36484366.0,5584208.0,14.011018799320759,SET-Thailand
BTS,SERVICE - Services,TRANS - Transportation & Logistics,4.74,4.76,4.66,4.7,-0.04,-0.84,4.7,4.72,99202018,466477.94,65393637.0,17871387.0,7.418924302255433,SET-Thailand
BTSGIF,SERVICE - Services,TRANS - Transportation & Logistics,3.44,3.48,3.44,3.48,0.06,1.75,3.46,3.48,6972761,24163.34,,,,SET-Thailand
DMT,SERVICE - Services,TRANS - Transportation & Logistics,11.6,11.7,11.5,11.6,0,0,11.6,11.7,856340,9931.17,,,,SET-Thailand
ETL,SERVICE - Services,TRANS - Transportation & Logistics,0.88,0.92,0.87,0.9,0.03,3.45,0.9,0.91,4239085,3812.11,,,,SET-Thailand
III,SERVICE - Services,TRANS - Transportation & Logistics,7,7.1,6.85,6.85,-0.05,-0.72,6.85,6.9,1847805,12870.82,1308455.94,252729.21,11.24207029172711,SET-Thailand
KEX,SERVICE - Services,TRANS - Transportation & Logistics,3.14,3.22,3.08,3.12,0,0,3.1,3.12,2040736,6361.26,,,,SET-Thailand
KIAT,SERVICE - Services,TRANS - Transportation & Logistics,0.36,0.38,0.36,0.36,0,0,0.36,0.37,3016350,1115.7,1179462.45,-2968.31,12.908239071393696,SET-Thailand
KWC,SERVICE - Services,TRANS - Transportation & Logistics,315,315,279,279,-31,-10,288,314,4101,1250.33,685321.0,-871.0,15.703355928898414,SET-Thailand
MENA,SERVICE - Services,TRANS - Transportation & Logistics,1.36,1.36,1.33,1.34,0,0,1.34,1.35,2323284,3118.38,,,,SET-Thailand
NOK,SERVICE - Services,TRANS - Transportation & Logistics,-,-,-,-,-,-,-,-,-,-,-5137826.32,762777.09,,SET-Thailand
NYT,SERVICE - Services,TRANS - Transportation & Logistics,3.38,3.4,3.32,3.34,0,0,3.34,3.36,3349135,11255.15,3730235.0,-64419.0,8.87356237521198,SET-Thailand
PORT,SERVICE - Services,TRANS - Transportation & Logistics,1.59,1.65,1.59,1.6,0.02,1.27,1.6,1.62,176600,285.3,1494806.7,-51860.77,5.96811112557016,SET-Thailand
PRM,SERVICE - Services,TRANS - Transportation & Logistics,8.9,9.05,8.9,9.05,0.15,1.69,9,9.05,11903287,106872.51,7626344.0,-463515.0,15.166720687039787,SET-Thailand
PSL,SERVICE - Services,TRANS - Transportation & Logistics,8.8,9.15,8.8,9.15,0.55,6.4,9.15,9.2,42866988,386269.9,12223701.0,-97087.0,-2.1263283801363593,SET-Thailand
RCL,SERVICE - Services,TRANS - Transportation & Logistics,24,26,24,26,2.5,10.64,25.75,26,30767052,766887.53,8020178.0,-341502.0,-5.566018567494005,SET-Thailand
SAV,SERVICE - Services,TRANS - Transportation & Logistics,21.7,22.3,21.7,22.3,0.5,2.29,22.2,22.3,1588662,35005.1,,,,SET-Thailand
SINO,SERVICE - Services,TRANS - Transportation & Logistics,1.24,1.32,1.24,1.3,0.06,4.84,1.29,1.3,6470010,8349.71,,,,SET-Thailand
SJWD,SERVICE - Services,TRANS - Transportation & Logistics,12.2,12.4,12.1,12.1,0,0,12.1,12.2,3016771,36919.53,3292405.0,-423472.0,11.604485845035278,SET-Thailand
TFFIF,SERVICE - Services,TRANS - Transportation & Logistics,6.95,6.95,6.9,6.95,0,0,6.9,6.95,2343656,16285.35,,,,SET-Thailand
THAI,SERVICE - Services,TRANS - Transportation & Logistics,-,-,-,-,-,-,-,-,-,-,-12460112.0,4340404.0,-646.8469672939873,SET-Thailand
TSTE,SERVICE - Services,TRANS - Transportation & Logistics,15.7,15.7,15.5,15.7,0,0,15.2,15.7,40300,632.67,3742667.0,-196935.0,5.718158478208254,SET-Thailand
TTA,SERVICE - Services,TRANS - Transportation & Logistics,6.2,6.5,6.15,6.4,0.35,5.79,6.4,6.45,29339471,186101.43,23365667.0,-380179.0,1.0340562658243395,SET-Thailand
WICE,SERVICE - Services,TRANS - Transportation & Logistics,6.3,6.9,6.25,6.85,0.6,9.6,6.85,6.9,5697555,37742.55,926968.0,5630.0,9.574420716802999,SET-Thailand
